lens_series,IOL_dpt
MBI SAL 302A,17.5
Zeiss AT Torbi,21.0
Domilens 677,21.0
Domilens 677,22.5
Domilens 677,19.5
Domilens 677,12.0
Domilens 677,26.0
Domilens 677,18.5
Domilens 677,20.0
1stQ,20.0
Domilens 677,20.5
MBI SAL 302A,20.5
Domilens 677,21.5
Domilens Nexload-System SZ1,14.5
Domilens 677,14.0
Domilens 677,13.5
Teleon Oculentis 313,17.0
MBI SAL 302A,23.0
MBI SAL 302A,24.0
Domilens 677,19.0
Zeiss AT Torbi,18.5
Zeiss AT Torbi,19.0
1stQ,23.5
MBI SAL 302A,20.0
1stQ,24.0
Domilens 677,23.0
Domilens 677,14.5
1stQ,17.5
1stQ,13.5
1stQ,16.0
Domilens 677,31.0
Domilens 677,30.0
Domilens 677,16.0
Domilens 677,15.0
1stQ,18.5
1stQ,19.0
1stQ,21.5
Domilens Nexload-System SZ1,29.0
1stQ,22.5
1stQ,22.0
1stQ,21.0
1stQ,20.5
Domilens 677,25.0
Domilens 677,23.5
MBI SAL 302A,22.5
Alcon SN 60 WF,20.5
Alcon SN6AT,21.5
MBI SAL 302A,22.0
Domilens 677,27.0
1stQ,28.0
Domilens 677,18.0
Alcon SN6AT,12.0
Domilens 677,22.0
Zeiss AT Torbi,18.0
Zeiss Asphina,16.5
Domilens 677,7.0
1stQ,10.5
MBI SAL 302A,9.9
MBI SAL 302A,19.0
1stQ,18.0
Zeiss AT Torbi,21.5
Teleon Oculentis 313,19.5
Teleon Oculentis 313,20.0
Alcon SN6AT,17.0
Alcon SN 60 WF,18.0
Zeiss AT Torbi,23.0
Zeiss AT Torbi,22.0
Domilens 677,25.5
MBI SAL 302A,21.0
1stQ,26.0
MBI SAL 302A,19.5
MBI SAL 302A,21.5
1stQ,28.5
1stQ,15.5
Domilens 677,24.5
1stQ,23.0
MBI SAL 302A,23.5
BunnyLens AF Easy,22.5
Domilens 677,15.5
1stQ,19.5
Domilens AS66-Y,23.5
BunnyLens AF Easy,29.0
BunnyLens AF Easy,28.5
Zeiss Asphina,18.5
Zeiss AT Torbi,15.0
Zeiss AT Torbi,16.5
Domilens 677,17.5
Domilens 677,17.0
Zeiss AT Torbi,14.5
Zeiss Asphina,18.0
Zeiss AT Torbi,22.5
Zeiss AT Torbi,8.0
Zeiss AT Torbi,25.5
Zeiss AT Torbi,27.5
Zeiss AT Torbi,25.0
Domilens AS66-Y,23.0
Zeiss Asphina,21.5
Alcon Clareon,10.0
Alcon SN 60 WF,23.5
Alcon SN 60 WF,25.0
Alcon SN6AT,26.0
Domilens 677,16.5
Alcon SN6AT,24.5
Teleon Oculentis 313,13.5
Teleon Oculentis 313,14.0
Alcon SN6AT,25.5
MBI SAL 302A,24.5
Zeiss AT Torbi,20.5
Domilens 677,24.0
Alcon Vivity,17.0
Domilens AS66-Y,24.5
Domilens AS66-Y,13.0
Domilens AS66-Y,25.0
Domilens 677,34.0
Domilens AS66-Y,24.0
Zeiss Asphina,21.0
Teleon Oculentis 313,16.5
Teleon Oculentis 313,18.0
1stQ,-1.0
1stQ,1.0
MBI SAL 302A,25.0
Teleon Oculentis 313,22.0
Domilens 677,27.5
Bausch & Lomb Envista,23.5
Bausch & Lomb Envista,24.0
Zeiss AT Torbi,23.5
Zeiss AT Torbi,24.0
Teleon Oculentis 313,22.5
Teleon Oculentis 313,16.0
Domilens 677,10.5
Domilens 677,11.0
1stQ,16.5
Alcon SN 60 WF,22.0
1stQ,25.0
Zeiss CT Lucia 621 P/PY,24.0
Zeiss CT Lucia 621 P/PY,24.5
Alcon Clareon,30.0
Domilens AS66-Y,21.0
Domilens AS66-Y,22.0
Zeiss Asphina,19.0
Zeiss Asphina,22.5
Bausch & Lomb Envista,21.0
Bausch & Lomb Envista,20.5
1stQ,24.5
1stQ,14.0
1stQ,30.0
1stQ,29.5
Alcon SN6AT,15.0
Zeiss Asphina,22.0
Zeiss AT Torbi,26.0
Zeiss AT Torbi,20.0
Domilens Nexload-System SZ1,22.0
Zeiss AT Torbi,19.5
MBI SAL 302A,16.5
Domilens 677,28.0
Zeiss AT Torbi,17.5
Domilens Nexload-System SZ1,20.5
1stQ,11.5
BunnyLens AF Easy,19.5
BunnyLens AF Easy,20.0
1stQ,17.0
Zeiss AT Torbi,6.0
Zeiss Asphina,11.0
1stQ,12.0
Domilens 677,26.5
Zeiss Asphina,27.5
Zeiss AT Torbi,30.0
Alcon Clareon,25.0
Domilens Nexload-System SZ1,26.0
Domilens Nexload-System SZ1,25.5
Domilens 677,29.0
Alcon Clareon,22.5
MBI SAL 302A,25.5
MBI SAL 302A,26.0
Zeiss AT Torbi,16.0
1stQ,26.5
Domilens 677,10.0
Teleon Oculentis 313,25.5
Alcon SN 60 WF,25.5
Alcon SN6AT,31.0
MBI SAL 302A,18.5
Zeiss Asphina,17.5
