model,accuracy_train,accuracy_test,f1,cohen
Decisiontree,0.961,0.928,0.7341772151898733,0.692662389735365
KNN,0.966,0.921,0.6933333333333334,0.6481559094719196
LogReg,0.967,0.942,0.7792207792207793,0.7456967213114754
SVC_gen,0.986,0.952,0.8055555555555555,0.7783080260303687
SVC_gen_noID,0.988,0.942,0.7605633802816901,0.7276119402985075
SVC_best,0.983,0.928,0.7407407407407408,0.6991758241758241
SVC_best2,0.985,0.942,0.7671232876712328,0.7339193825042882
SVC_best3,0.965,0.932,0.7435897435897436,0.7040940413457641
Forest_gen,1.0,0.949,0.7887323943661972,0.759657594381036
Forest_gen2,1.0,0.955,0.8169014084507042,0.7917032484635645
Forest_best,0.988,0.949,0.7887323943661972,0.759657594381036
Forest_best2,0.994,0.942,0.7951807228915663,0.7615295926210608
Forest_no_sp,1.0,0.949,0.7887323943661972,0.759657594381036
Forest_n_est,1.0,0.952,0.8055555555555555,0.7783080260303687
Forest_n_est+max_feat,1.0,0.955,0.8219178082191781,0.7965265866209262
Forest_n_est+max_feat+max_depth,1.0,0.949,0.7887323943661972,0.759657594381036
Forest_n_est+max_feat+max_depth,1.0,0.942,0.7605633802816901,0.7276119402985075
Forest_n_est+max_feat+max_depth,1.0,0.952,0.7999999999999999,0.7729897823189693
Forest_n_est+max_feat+max_depth+split,0.997,0.949,0.7887323943661972,0.759657594381036
Forest_n_est+max_feat+max_depth+split,0.986,0.949,0.7945205479452055,0.7652229845626072
Forest_n_est+max_feat+max_depth+split,1.0,0.945,0.7714285714285714,0.7405597512216793
