model,MAE,MSQ,MAPE,R2,RMSE
dummy,32465.8,47260.6,0.192,0.653,
DecTreeReg,26479.6,45431.9,0.153,0.679,
SDGReg,21669.2,36018.6,0.131,0.798,
LinReg,20752.8,36313.3,0.123,0.795,
RandomForest,15933.6,30369.0,0.091,0.857,
RandomForest_col+log+no0var,15855.3,30125.6,0.093,0.859,30125.6
RandomForest_col+log+no0var+RFE,15732.8,30849.1,0.091,0.852,30849.1
RandomForest_col+log+no0var+RFE,15946.4,31727.6,0.092,0.843,31727.6
GradBooReg,14586.1,802954890.1,0.083,0.875,28336.5
GradBooReg_log,14461.5,730567267.4,0.083,0.886,27029.0
