artist,genres,genre
Gilberto Gil,"Samba, MPB, Tropicália",Samba
Antônio Carlos Jobim,"Bossa Nova, Samba, Jazz",Jazz
Martinho Da Vila,"Samba, Pagode, Afro-Brazilian music",Samba
Chico César,"MPB, Forró, Samba",MPB
Kurt Elling,"Jazz, Vocal Jazz, Traditional Pop",Jazz
Stan Getz,"Jazz, Bossa Nova, Samba",Jazz
Maria Gasolina,"Indie Rock, Pop, Electronic",Bossa Nova
Sílvia Pérez Cruz,"Flamenco, Jazz, Folk",Flamenco
Paula Morelenbaum,"Bossa Nova, Latin Jazz, Pop",Jazz
Bossacucanova,"Electronic, Bossa nova, Jazz",Bossa Nova
Joe Henderson,"Jazz, post-bop, hard bop",Jazz
Marcos Valle,"Bossa Nova, MPB, Jazz",Bossa Nova
Rio Combo,"Latin Jazz, Bossa Nova, Samba",Latin jazz
Carlos Barbosa-Lima,"Classical, Latin, Jazz",Classical
Brazilian Jazz,"Jazz, Bossa Nova, Samba",Jazz
Voyager,"Progressive Metal, Djent, Synthwave",Progressive Metal
João Gilberto,"bossa nova, samba, jazz",Bossa Nova
Sonny Rollins,"Jazz, Hard Bop, Free Jazz",Jazz
Seu Jorge,"Samba, MPB, Alternative Rock",Samba
Gal Costa,"Bossa Nova, Tropicália, MPB",Bossa Nova
Cannonball Adderley,"Jazz, Hard Bop, Soul Jazz",Jazz
Bïa,"Pop, Bossa Nova, MPB",World Music
Mundo Livre S/A,"Rock, Manguebeat, Samba",Manguebeat
Leila Pinheiro,"Bossa Nova, MPB, Jazz",Bossa Nova
Bebel Gilberto,"Bossa Nova, Latin Jazz, Electronic",Bossa Nova
Toots Thielemans,"Jazz, Blues, Folk",Jazz
Jorge Ben Jor,"Samba, Bossa Nova, MPB",Samba
Wilson Simonal,"Samba, Bossa Nova, MPB",Soul
Sergio Mendes & Brasil '66,"Bossa Nova, Latin Jazz, Samba",Bossa Nova
Cesar Camargo Mariano & Romero Lubambo,"Jazz, bossa nova, Brazilian music",Brazilian jazz
Mundo Livre,"Rock, Manguebeat, Experimental.",Mundo Livre Manguebeat
Jenny Chi,"Pop, R&B, Electronic",Pop
Dorival Caymmi,"MPB, Samba, Bossa Nova",Bossa Nova
